DHB,Case Status,Count,Date
Auckland,Confirmed cases,43,2020-03-26
Auckland,Probable cases,2,2020-03-26
Auckland,Total cases,45,2020-03-26
Bay of Plenty,Confirmed cases,3,2020-03-26
Bay of Plenty,Probable cases,0,2020-03-26
Bay of Plenty,Total cases,3,2020-03-26
Canterbury,Confirmed cases,17,2020-03-26
Canterbury,Probable cases,1,2020-03-26
Canterbury,Total cases,18,2020-03-26
Capital and Coast,Confirmed cases,35,2020-03-26
Capital and Coast,Probable cases,4,2020-03-26
Capital and Coast,Total cases,39,2020-03-26
Counties Manukau,Confirmed cases,23,2020-03-26
Counties Manukau,Probable cases,2,2020-03-26
Counties Manukau,Total cases,25,2020-03-26
Hawke's Bay,Confirmed cases,3,2020-03-26
Hawke's Bay,Probable cases,3,2020-03-26
Hawke's Bay,Total cases,6,2020-03-26
Hutt Valley,Confirmed cases,5,2020-03-26
Hutt Valley,Probable cases,1,2020-03-26
Hutt Valley,Total cases,6,2020-03-26
Lakes,Confirmed cases,6,2020-03-26
Lakes,Probable cases,0,2020-03-26
Lakes,Total cases,6,2020-03-26
MidCentral,Confirmed cases,5,2020-03-26
MidCentral,Probable cases,1,2020-03-26
MidCentral,Total cases,6,2020-03-26
Nelson Marlborough,Confirmed cases,16,2020-03-26
Nelson Marlborough,Probable cases,1,2020-03-26
Nelson Marlborough,Total cases,17,2020-03-26
Northland,Confirmed cases,3,2020-03-26
Northland,Probable cases,0,2020-03-26
Northland,Total cases,3,2020-03-26
South Canterbury,Confirmed cases,2,2020-03-26
South Canterbury,Probable cases,0,2020-03-26
South Canterbury,Total cases,2,2020-03-26
Southern,Confirmed cases,30,2020-03-26
Southern,Probable cases,1,2020-03-26
Southern,Total cases,31,2020-03-26
Tairawhiti,Confirmed cases,0,2020-03-26
Tairawhiti,Probable cases,0,2020-03-26
Tairawhiti,Total cases,0,2020-03-26
Taranaki,Confirmed cases,5,2020-03-26
Taranaki,Probable cases,1,2020-03-26
Taranaki,Total cases,6,2020-03-26
Waikato,Confirmed cases,31,2020-03-26
Waikato,Probable cases,3,2020-03-26
Waikato,Total cases,34,2020-03-26
Wairarapa,Confirmed cases,5,2020-03-26
Wairarapa,Probable cases,0,2020-03-26
Wairarapa,Total cases,5,2020-03-26
Waitemata,Confirmed cases,29,2020-03-26
Waitemata,Probable cases,1,2020-03-26
Waitemata,Total cases,30,2020-03-26
West Coast,Confirmed cases,1,2020-03-26
West Coast,Probable cases,0,2020-03-26
West Coast,Total cases,1,2020-03-26
Whanganui,Confirmed cases,0,2020-03-26
Whanganui,Probable cases,0,2020-03-26
Whanganui,Total cases,0,2020-03-26
Total,Confirmed cases,262,2020-03-26
Total,Probable cases,21,2020-03-26
Total,Total cases,283,2020-03-26
